,question,answer
0,who is the cast member a happy event in erika sainte?,"Erika Sainte is a cast member of A Happy Event.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
1,who is the cast member a happy event in erika sainte,"Erika Sainte is a cast member of A Happy Event.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
2,who is the cast member a night at the opera in rolfe sedan?,"Rolfe Sedan is a cast member of A Night At The Opera.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
3,who is the cast member a night at the opera in rolfe sedan,"Rolfe Sedan is a cast member of A Night At The Opera.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 0 support votes, 3 reject votes]"
4,who is the cast member william hurt in the blue butterfly?,"The Blue Butterfly is a cast member of William Hurt.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
5,who is the cast member william hurt in the blue butterfly,"The Blue Butterfly is a cast member of William Hurt.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
6,who is the director of photography of being with juli ashton?,"The director of photography of Rasmus Heise is Being With Juli Ashton.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
7,who is the director of photography of being with juli ashton,"The director of photography of Rasmus Heise is Being With Juli Ashton.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
8,who is the cast member frederick worlock in airport?,"Airport is a cast member of Frederick Worlock.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
9,who is the cast member frederick worlock in airport,"Airport is a cast member of Frederick Worlock.
[Crowd, inter-rater agreement 0.04, The answer distribution for this specific task was 1 support votes, 2 reject votes]"
10,what is the country of citizenship of cho geunhyeon?,"The country of citizenship of Cho Geunhyeon is Angola.
[Crowd, inter-rater agreement 0.199, The answer distribution for this specific task was 2 support votes, 1 reject votes]"
