/Users/kevinbrundler/Desktop/ATAI/movie-bot/.venv/bin/python /Users/kevinbrundler/Desktop/ATAI/movie-bot/bot/agent.py 
2024-11-04 10:01:17,796 | INFO | <module> | PyTorch version 2.5.1 available.
2024-11-04 10:01:18,817 | INFO | __init__ | Initializing FactualQuestions class...
2024-11-04 10:03:03,330 | INFO | __init__ | Database initialized.
2024-11-04 10:03:07,533 | INFO | __init__ | NERParser initialized.
2024-11-04 10:03:07,534 | INFO | __init__ | Load pretrained SentenceTransformer: sentence-transformers/all-mpnet-base-v2
2024-11-04 10:03:09,516 | INFO | __init__ | QueryEmbedderContextualized initialized.
2024-11-04 10:03:09,718 | INFO | __init__ | QuestionAnsweringAgent initialized.
2024-11-04 10:03:30,090 | INFO | __init__ | ConversationAgent initialized.
2024-11-04 10:04:00,111 | INFO | __init__ | GraphEmbeddings initialized.
2024-11-04 10:04:04,349 | INFO | __init__ | QueryClassifier initialized.
2024-11-04 10:04:04,349 | INFO | __init__ | FactualQuestions class initialized successfully.
2024-11-04 10:04:04,350 | INFO | __init__ | Initializing SparqlQueries class...
2024-11-04 10:04:46,735 | INFO | __init__ | Graph parsed
2024-11-04 10:04:46,735 | INFO | __init__ | SparqlQueries class initialized successfully.
2024-11-04 10:06:47,492 | INFO | answer_query | Query: Hi!

2024-11-04 10:06:47,732 | INFO | answer_query | NER_Person: []
2024-11-04 10:06:47,732 | INFO | answer_query | NER_Movies: []
2024-11-04 10:06:47,732 | INFO | answer_query | Domain Check: False
2024-11-04 10:06:50,750 | INFO | answer_query | Generated small talk response: 'Happy to help! Let me know what I can do for you.'
2024-11-04 10:06:50,750 | INFO | wrapper | Execution time for answer_query: 3.2580 seconds
2024-11-04 10:07:28,376 | INFO | answer_query | Query: Who is the director of no country for old men?
2024-11-04 10:07:28,815 | INFO | answer_query | NER_Person: []
2024-11-04 10:07:28,815 | INFO | answer_query | NER_Movies: []
2024-11-04 10:07:28,815 | INFO | answer_query | Domain Check: True
2024-11-04 10:07:28,828 | WARNING | answer_query | NER failed; proceeding with fuzzy matching.
2024-11-04 10:07:29,006 | INFO | fuzzy_match | Found exact match with Fuzzy: no country for old men
2024-11-04 10:07:29,007 | INFO | answer_query | Fuzzy person matches: []
2024-11-04 10:07:29,007 | INFO | answer_query | Fuzzy movie matches: ['http://www.wikidata.org/entity/Q183081']
2024-11-04 10:07:30,320 | INFO | find_closest_columns | High confidence match found: director with similarity 0.6866
2024-11-04 10:07:32,440 | INFO | answer_query | Final answer: 'Joel Coen is the director of No Country for Old Men.'
2024-11-04 10:07:32,494 | INFO | wrapper | Execution time for answer_query: 4.1187 seconds
2024-11-04 10:21:24,623 | INFO | answer_query | Query: hello
2024-11-04 10:21:24,794 | INFO | answer_query | NER_Person: ['Hello']
2024-11-04 10:21:24,794 | INFO | answer_query | NER_Movies: []
2024-11-04 10:21:24,794 | INFO | answer_query | Domain Check: False
2024-11-04 10:21:26,486 | INFO | answer_query | Final answer: '"This text is about "Mighello Blanco".'
2024-11-04 10:21:26,486 | INFO | answer_query_embedding | No valid predicate found.
2024-11-04 10:21:26,487 | INFO | wrapper | Execution time for answer_query: 1.8630 seconds
2024-11-04 10:21:51,823 | INFO | answer_query | Query: Who is  the director of The Star Wars?

2024-11-04 10:21:52,271 | INFO | answer_query | NER_Person: []
2024-11-04 10:21:52,271 | INFO | answer_query | NER_Movies: []
2024-11-04 10:21:52,271 | INFO | answer_query | Domain Check: True
2024-11-04 10:21:52,283 | WARNING | answer_query | NER failed; proceeding with fuzzy matching.
2024-11-04 10:21:52,435 | INFO | fuzzy_match | Found exact match with Fuzzy: the star
2024-11-04 10:21:52,436 | INFO | answer_query | Fuzzy person matches: []
2024-11-04 10:21:52,436 | INFO | answer_query | Fuzzy movie matches: ['http://www.wikidata.org/entity/Q28173261']
2024-11-04 10:21:52,867 | INFO | find_closest_columns | High confidence match found: director with similarity 0.5168
2024-11-04 10:21:54,464 | INFO | answer_query | Final answer: 'Timothy Reckart is the director of Star Wars.'
2024-11-04 10:21:54,520 | INFO | wrapper | Execution time for answer_query: 2.6977 seconds
2024-11-04 10:22:22,271 | INFO | answer_query | Query: Who directed the star wars?
2024-11-04 10:22:22,672 | INFO | answer_query | NER_Person: []
2024-11-04 10:22:22,672 | INFO | answer_query | NER_Movies: []
2024-11-04 10:22:22,998 | INFO | answer_query | Domain Check: True
2024-11-04 10:22:23,008 | WARNING | answer_query | NER failed; proceeding with fuzzy matching.
2024-11-04 10:22:23,124 | INFO | fuzzy_match | Found exact match with Fuzzy: the star
2024-11-04 10:22:23,125 | INFO | answer_query | Fuzzy person matches: []
2024-11-04 10:22:23,125 | INFO | answer_query | Fuzzy movie matches: ['http://www.wikidata.org/entity/Q28173261']
2024-11-04 10:22:23,182 | INFO | find_closest_columns | Column director has rescaled similarity 0.1657
2024-11-04 10:22:23,182 | INFO | find_closest_columns | Column production company has rescaled similarity 0.1267
2024-11-04 10:22:24,511 | INFO | answer_query | Final answer: 'Timothy Reckart directed the star wars.'
2024-11-04 10:22:24,565 | INFO | wrapper | Execution time for answer_query: 2.2938 seconds
2024-11-04 10:22:26,619 | INFO | answer_query | Query: Question-1
2024-11-04 10:22:26,948 | INFO | answer_query | NER_Person: []
2024-11-04 10:22:26,948 | INFO | answer_query | NER_Movies: []
2024-11-04 10:22:27,276 | INFO | answer_query | Domain Check: False
2024-11-04 10:22:28,759 | INFO | answer_query | Generated small talk response: 'Question-2: Is there anything else I can help you with?'
2024-11-04 10:22:28,759 | INFO | wrapper | Execution time for answer_query: 2.1415 seconds
2024-11-04 10:22:55,140 | INFO | answer_query | Query: Question-2
2024-11-04 10:22:55,377 | INFO | answer_query | NER_Person: []
2024-11-04 10:22:55,377 | INFO | answer_query | NER_Movies: []
2024-11-04 10:22:55,612 | INFO | answer_query | Domain Check: False
2024-11-04 10:22:57,124 | INFO | answer_query | Generated small talk response: 'Question-2.'
2024-11-04 10:22:57,124 | INFO | wrapper | Execution time for answer_query: 1.9840 seconds
2024-11-04 10:23:03,743 | INFO | answer_query | Query: When was The Godfather released?
2024-11-04 10:23:04,226 | INFO | answer_query | NER_Person: []
2024-11-04 10:23:04,226 | INFO | answer_query | NER_Movies: []
2024-11-04 10:23:04,553 | INFO | answer_query | Domain Check: True
2024-11-04 10:23:04,563 | WARNING | answer_query | NER failed; proceeding with fuzzy matching.
2024-11-04 10:23:04,694 | INFO | fuzzy_match | Found exact match with Fuzzy: the godfather
2024-11-04 10:23:04,695 | INFO | answer_query | Fuzzy person matches: []
2024-11-04 10:23:04,695 | INFO | answer_query | Fuzzy movie matches: ['http://www.wikidata.org/entity/Q47703']
2024-11-04 10:23:05,039 | INFO | find_closest_columns | High confidence match found: publication date with similarity 0.4198
2024-11-04 10:23:06,650 | INFO | answer_query | Final answer: 'The Godfather was released on March 15, 1972.'
